epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,979.359,0.72512,1.33984,0.54086,0.90288,0.78561,0.58846,0.58332,0.37044,0.78117,0.5471,0.54677,0.33298,1.03729,2.94738,0.906,0.98628,0.000198004,0.000198004,0.000198004
79,991.55,0.71774,1.32916,0.54703,0.89949,0.76904,0.58519,0.58756,0.37552,0.78857,0.55902,0.55898,0.34984,1.04331,2.89534,1.0231,0.98387,0.000189757,0.000189757,0.000189757
80,1004.49,0.73341,1.37343,0.53765,0.89737,0.7788,0.58696,0.59847,0.3745,0.81951,0.59205,0.62896,0.33107,0.97096,2.88581,0.96158,0.94845,0.000181511,0.000181511,0.000181511
81,1017.15,0.73241,1.40545,0.53951,0.90603,0.82439,0.58973,0.59294,0.37919,0.83835,0.58541,0.59983,0.33815,0.98099,2.76226,0.96229,0.94878,0.000173264,0.000173264,0.000173264
82,1029.91,0.72723,1.35305,0.53519,0.90983,0.81177,0.58764,0.60611,0.37641,0.83376,0.58842,0.59536,0.30732,0.96281,2.82547,0.94902,0.94226,0.000165017,0.000165017,0.000165017
83,1042.4,0.71818,1.38662,0.53073,0.9018,0.7824,0.59104,0.58361,0.38043,0.80386,0.58493,0.58742,0.30969,0.95872,2.87983,0.87571,0.93668,0.000156771,0.000156771,0.000156771
84,1056.42,0.72376,1.35898,0.5348,0.91059,0.76915,0.55397,0.53458,0.36919,0.81365,0.57451,0.56816,0.30734,0.97146,2.89238,0.89097,0.95307,0.000148524,0.000148524,0.000148524
85,1069.68,0.72237,1.3422,0.52968,0.90462,0.84905,0.57192,0.58112,0.38914,0.8652,0.56679,0.57358,0.33361,0.95288,2.83166,0.9345,0.94937,0.000140277,0.000140277,0.000140277
86,1082.28,0.70759,1.3743,0.52117,0.89984,0.84852,0.58124,0.59175,0.37551,0.86168,0.57161,0.59158,0.33685,0.96932,2.84278,0.94199,0.94936,0.000132031,0.000132031,0.000132031
87,1096.24,0.72438,1.36409,0.52725,0.91009,0.84424,0.5864,0.58909,0.38676,0.86367,0.57837,0.57767,0.34159,0.93497,3.06168,0.92285,0.94163,0.000123784,0.000123784,0.000123784
88,1108.81,0.70877,1.36263,0.52373,0.89612,0.86261,0.58376,0.59986,0.39012,0.92152,0.6179,0.63327,0.32275,0.93545,2.9076,0.9115,0.94015,0.000115537,0.000115537,0.000115537
89,1122.31,0.70738,1.35532,0.50971,0.89453,0.79419,0.59331,0.58891,0.38815,0.85161,0.57451,0.59625,0.3106,0.92213,2.98367,0.92814,0.93179,0.00010729,0.00010729,0.00010729
90,1135.63,0.67867,1.29899,0.50595,0.89797,0.80391,0.60798,0.61614,0.39638,0.86613,0.63494,0.67261,0.32082,0.94857,2.8277,0.89677,0.93511,9.90437e-05,9.90437e-05,9.90437e-05
91,1149.06,0.69655,1.34172,0.50698,0.85422,0.86202,0.59654,0.61105,0.40399,0.91065,0.62619,0.66144,0.34972,0.96449,2.94849,0.88616,0.95131,9.0797e-05,9.0797e-05,9.0797e-05
92,1161.77,0.70643,1.38553,0.51378,0.86196,0.84862,0.59145,0.60292,0.39754,0.90306,0.62471,0.66304,0.35604,0.9794,3.00546,0.891,0.9546,8.25503e-05,8.25503e-05,8.25503e-05
93,1174.02,0.69326,1.31598,0.4981,0.85194,0.84532,0.58007,0.59141,0.38931,0.89786,0.61037,0.61526,0.35251,0.99207,3.0063,0.90117,0.96247,7.43036e-05,7.43036e-05,7.43036e-05
94,1186.99,0.69622,1.37011,0.49764,0.85669,0.84375,0.58356,0.59431,0.39041,0.89765,0.61378,0.6233,0.34595,0.96073,3.02239,0.88042,0.95374,6.60569e-05,6.60569e-05,6.60569e-05
95,1199.51,0.69912,1.30379,0.50174,0.85837,0.83013,0.56894,0.56694,0.38493,0.88565,0.59977,0.60596,0.34354,0.98514,3.03524,0.8997,0.96772,5.78102e-05,5.78102e-05,5.78102e-05
96,1212.03,0.6864,1.32548,0.49329,0.86228,0.83775,0.56786,0.55471,0.38223,0.89111,0.60275,0.62032,0.346,0.96613,3.05334,0.91635,0.9599,4.95635e-05,4.95635e-05,4.95635e-05
97,1224.88,0.67223,1.29874,0.48906,0.85009,0.86252,0.57682,0.58074,0.38701,0.9044,0.59893,0.62006,0.31579,0.97339,3.00314,0.92884,0.9606,4.13168e-05,4.13168e-05,4.13168e-05
98,1237.34,0.6751,1.32167,0.4911,0.85814,0.84558,0.56505,0.57264,0.3856,0.89344,0.59471,0.62334,0.31782,0.97672,2.90019,0.8935,0.95568,3.30701e-05,3.30701e-05,3.30701e-05
99,1250.38,0.67431,1.31281,0.48635,0.85935,0.84645,0.566,0.56403,0.38308,0.90105,0.59682,0.62859,0.31759,0.9726,2.92798,0.89481,0.95783,2.48234e-05,2.48234e-05,2.48234e-05
100,1263.17,0.6726,1.31143,0.49317,0.85568,0.84062,0.56341,0.56469,0.38517,0.9003,0.59798,0.6211,0.31704,0.96148,2.93444,0.89037,0.9558,1.65767e-05,1.65767e-05,1.65767e-05
